,bp,position,foot,a/w,d/w
0,CAM,CAM,Right,High,Medium
1,ST,CAM,Right,Medium,Medium
2,CAM,CAM,Right,Medium,Medium
3,CAM,CAM,Right,Medium,Medium
4,CAM,CAM,Right,High,Medium
5,CAM,CAM,Left,Medium,Low
6,CAM,CAM,Right,Medium,Low
7,CAM,CAM,Left,Medium,Medium
8,CAM,CAM,Right,Medium,Low
9,CAM,CAM,Right,Medium,Medium
10,CAM,CAM,Right,Medium,Medium
11,CAM,CAM,Right,Medium,Low
12,CAM,CAM,Right,Medium,Medium
13,CAM,CAM,Right,High,Medium
14,CAM,CAM,Left,Medium,Medium
15,CAM,CAM,Right,High,Low
16,CAM,CAM,Right,Medium,Low
17,CAM,CAM,Left,Medium,Low
18,CAM,CAM,Right,High,Medium
19,CAM,CAM,Right,Medium,Low
20,CAM,CAM,Right,High,Medium
21,RM,CAM,Right,Medium,Medium
22,CAM,CAM,Left,High,Low
23,CAM,CAM,Right,High,Low
24,CAM,CAM,Left,High,Medium
25,CAM,CAM,Right,Medium,Medium
26,CAM,CAM,Right,Medium,Low
27,CAM,CAM,Right,Medium,Medium
28,CAM,CAM,Left,High,Medium
29,CAM,CAM,Right,Medium,Medium
30,CAM,CAM,Right,Medium,Medium
31,CAM,CAM,Right,Medium,Medium
32,CAM,CAM,Right,Medium,Medium
33,CAM,CAM,Left,Medium,Low
34,CAM,CAM,Left,Medium,Medium
35,CAM,CAM,Right,Medium,Medium
36,CAM,CAM,Right,High,Medium
37,CAM,CAM,Left,Medium,Low
38,CAM,CAM,Right,Medium,Medium
39,CAM,CAM,Left,Medium,Low
40,CAM,CAM,Right,High,Medium
41,CAM,CAM,Left,Medium,Low
42,CAM,CAM,Right,High,High
43,CAM,CAM,Right,High,Low
44,CM,CAM,Right,Medium,Medium
45,CAM,CAM,Right,Medium,Medium
46,CAM,CAM,Right,High,Medium
47,RM,CAM,Right,High,Medium
48,CAM,CAM,Right,Medium,Medium
49,CAM,CAM,Left,Medium,Low
50,CAM,CAM,Right,Medium,Medium
51,CAM,CAM,Left,Medium,Medium
52,CAM,CAM,Left,Medium,Low
53,CAM,CAM,Right,Medium,Medium
54,CAM,CAM,Left,Medium,Medium
55,CAM,CAM,Left,Medium,Medium
56,CAM,CAM,Right,High,Medium
57,CAM,CAM,Left,Medium,Medium
58,CAM,CAM,Right,High,Medium
59,RM,CAM,Right,Medium,Medium
60,CAM,CAM,Right,Medium,Medium
61,CAM,CAM,Left,Medium,Medium
62,CAM,CAM,Right,Medium,Medium
63,CAM,CAM,Right,High,High
64,CAM,CAM,Right,Medium,Medium
65,CAM,CAM,Right,Medium,Medium
66,CAM,CAM,Right,Medium,Low
67,RM,CAM,Right,Medium,High
68,RM,CAM,Right,Medium,Medium
69,CAM,CAM,Right,High,Medium
70,CAM,CAM,Left,Medium,Medium
71,CAM,CAM,Right,High,High
72,CAM,CAM,Right,Medium,Medium
73,CAM,CAM,Right,Medium,Medium
74,CAM,CAM,Right,Medium,Medium
75,CAM,CAM,Left,Medium,Medium
76,CAM,CAM,Right,Medium,Low
77,CAM,CAM,Right,Medium,Low
78,CAM,CAM,Right,Medium,Medium
79,CAM,CAM,Right,High,Low
80,ST,CAM,Right,High,Low
81,CAM,CAM,Left,High,Medium
82,RM,CAM,Right,High,Medium
83,CAM,CAM,Right,Medium,Medium
84,CAM,CAM,Right,Medium,Medium
85,CAM,CAM,Right,Medium,High
86,CAM,CAM,Left,High,Medium
87,CAM,CAM,Right,Medium,Medium
88,CAM,CAM,Right,High,Medium
89,RM,CAM,Right,High,Medium
90,CAM,CAM,Left,Medium,Medium
91,RM,CAM,Right,Medium,Medium
92,LM,CAM,Left,Medium,Medium
93,CAM,CAM,Left,High,Low
94,RM,CAM,Right,Medium,Medium
95,CAM,CAM,Right,Medium,Medium
96,CAM,CAM,Right,Medium,Low
97,CAM,CAM,Right,Medium,Medium
98,CAM,CAM,Left,Medium,Medium
99,CAM,CAM,Right,Medium,Medium
100,LM,CAM,Left,Medium,Medium
101,CAM,CAM,Right,High,Medium
102,CAM,CAM,Left,High,Medium
103,CAM,CAM,Right,Medium,Medium
104,RM,CAM,Right,Medium,Medium
105,CAM,CAM,Right,Medium,Medium
106,RM,CAM,Right,Medium,Medium
107,CAM,CAM,Right,Medium,Medium
