,weight,w/f,sm,ir,hits,inch_height,bov,skill,agility,power,mentality,defending,goalkeeping,total_stats
0,146,3,3,1,3.0,67,59,4.13022058844706,62.0,247,234,1.5437533966819692,1.396999671219974,1480
1,183,3,2,1,4.0,73,67,4.158318947097563,54.0,344,311,1.5761462244678353,1.3740303948169557,1725
2,163,2,2,1,3.0,73,50,3.833658625477635,49.0,232,214,1.5514907132708071,1.4252465486463906,1310
3,170,3,2,1,5.0,73,65,4.038502993721818,82.0,301,221,1.5793972284736488,1.3740303948169557,1545
4,174,5,3,1,292.0,70,82,4.370923606578225,78.0,362,318,1.606153850141491,1.4012920835590674,2014
5,176,4,2,1,4.0,73,59,4.011667600815287,64.0,295,219,1.5136524718106426,1.3308317646057786,1434
6,152,3,3,1,3.0,70,66,4.202799273419526,75.0,299,268,1.4746366515748413,1.3740303948169557,1642
7,148,2,3,1,3.0,70,56,3.952277742240961,68.0,244,218,1.5293379817722996,1.3788396218579066,1404
8,159,3,3,1,4.0,69,76,4.3160092690119605,79.0,319,310,1.5089076184613552,1.4252465486463906,1842
9,139,4,3,1,31.0,67,59,4.038502993721818,71.0,223,209,1.5182757199460604,1.3481114856713152,1403
10,134,3,3,1,14.0,69,63,4.133764324515255,90.0,221,230,1.53975317897557,1.3740303948169557,1503
11,159,5,3,3,15.0,67,81,4.545764877308529,75.0,319,330,1.5476647089811362,1.3640546328884455,1964
12,174,4,4,1,11.0,69,71,4.239363248839551,68.0,346,313,1.5933046536324995,1.417583312645218,1881
13,150,3,3,1,17.0,69,67,4.3160092690119605,63.0,307,275,1.4717169160496426,1.3640546328884455,1675
14,137,4,3,1,3.0,67,62,4.175595259859688,64.0,275,247,1.5417646344281224,1.417583312645218,1553
15,165,2,2,1,9.0,73,61,4.202799273419526,55.0,269,231,1.5642571600471569,1.3835365735581087,1542
16,143,3,2,1,21.0,67,64,4.2162055019449864,72.0,257,255,1.5533727917527633,1.3691038556058743,1600
17,179,2,3,1,21.0,70,75,4.37689890912139,72.0,381,286,1.524994838195378,1.3425100134968837,1833
18,154,3,2,1,5.0,68,54,3.952277742240961,61.0,257,219,1.5660066297600124,1.3588769911382217,1398
19,150,4,4,3,141.0,69,76,4.403489460605682,80.0,264,317,1.614202647204422,1.3640546328884455,1847
20,163,4,4,1,4.0,70,69,4.229485053762256,83.0,283,247,1.50648771329857,1.3481114856713152,1596
21,152,4,2,1,7.0,66,60,4.123105625617661,81.0,271,279,1.5962460680403698,1.4012920835590674,1677
22,139,3,3,1,25.0,69,66,4.13022058844706,65.0,287,254,1.5761462244678353,1.3788396218579066,1631
23,152,3,2,1,24.0,69,63,4.147848904442549,58.0,277,274,1.6102268623203686,1.3119942346184028,1628
24,132,2,4,1,13.0,63,68,4.287747230288912,94.0,324,282,1.5136524718106426,1.4289675858306226,1801
25,132,4,3,1,3.0,64,68,4.284572294953817,86.0,222,232,1.453173761903945,1.3247380861805318,1545
26,168,4,4,1,7.0,70,69,4.306650321420513,81.0,326,294,1.6243607736485148,1.3788396218579066,1833
27,150,3,3,1,3.0,71,60,4.133764324515255,74.0,250,226,1.5136524718106426,1.3881259789913998,1489
