,bov,skill,agility,power,mentality,defending,goalkeeping,total_stats
0,59,17.05872210923198,62.0,247,234,4.68213122712422,4.04305126783455,1480
1,67,17.291616465790582,54.0,344,311,4.836281906951478,3.9512437185814275,1725
2,50,14.696938456699069,49.0,232,214,4.718498871295094,4.1588830833596715,1310
3,65,16.30950643030009,82.0,301,221,4.852030263919617,3.9512437185814275,1545
4,82,19.1049731745428,78.0,362,318,4.983606621708336,4.060443010546419,2014
5,59,16.09347693943108,64.0,295,219,4.543294782270004,3.784189633918261,1434
6,66,17.663521732655695,75.0,299,268,4.3694478524670215,3.9512437185814275,1642
7,56,15.620499351813308,68.0,244,218,4.61512051684126,3.970291913552122,1404
8,76,18.627936010197157,79.0,319,310,4.5217885770490405,4.1588830833596715,1842
9,59,16.30950643030009,71.0,223,209,4.564348191467836,3.8501476017100584,1403
10,63,17.08800749063506,90.0,221,230,4.663439094112067,3.9512437185814275,1503
11,81,20.663978319771825,75.0,319,330,4.700480365792417,3.912023005428146,1964
12,71,17.97220075561143,68.0,346,313,4.919980925828125,4.127134385045092,1881
13,67,18.627936010197157,63.0,307,275,4.356708826689592,3.912023005428146,1675
14,62,17.435595774162696,64.0,275,247,4.672828834461906,4.127134385045092,1553
15,61,17.663521732655695,55.0,269,231,4.77912349311153,3.9889840465642745,1542
16,64,17.776388834631177,72.0,257,255,4.727387818712341,3.9318256327243257,1600
17,75,19.157244060668017,72.0,381,286,4.59511985013459,3.828641396489095,1833
18,54,15.620499351813308,61.0,257,219,4.787491742782046,3.8918202981106265,1398
19,76,19.390719429665317,80.0,264,317,5.0238805208462765,3.912023005428146,1847
20,69,17.88854381999832,83.0,283,247,4.51085950651685,3.8501476017100584,1596
21,60,17.0,81.0,271,279,4.9344739331306915,4.060443010546419,1677
22,66,17.05872210923198,65.0,287,254,4.836281906951478,3.970291913552122,1631
23,63,17.204650534085253,58.0,277,274,5.003946305945459,3.713572066704308,1628
24,68,18.384776310850235,94.0,324,282,4.543294782270004,4.174387269895637,1801
25,68,18.35755975068582,86.0,222,232,4.276666119016055,3.7612001156935624,1545
26,69,18.547236990991408,81.0,326,294,5.075173815233827,3.970291913552122,1833
27,60,17.08800749063506,74.0,250,226,4.543294782270004,4.007333185232471,1489
28,59,16.30950643030009,67.0,247,262,5.056245805348308,3.8501476017100584,1536
29,64,17.05872210923198,68.0,307,264,4.941642422609304,4.219507705176107,1676
30,68,18.57417562100671,88.0,300,302,5.10594547390058,4.060443010546419,1858
31,63,16.3707055437449,70.0,249,222,4.454347296253507,3.7376696182833684,1448
32,59,16.0,67.0,264,215,4.812184355372417,3.6888794541139363,1471
33,68,18.33030277982336,75.0,302,275,4.804021044733257,3.9318256327243257,1757
34,63,17.029386365926403,74.0,281,247,4.430816798843313,3.970291913552122,1562
35,66,17.776388834631177,47.0,271,250,4.990432586778736,4.04305126783455,1623
36,68,17.72004514666935,66.0,294,304,4.634728988229636,3.7612001156935624,1684
37,68,17.86057109949175,72.0,314,284,4.718498871295094,3.828641396489095,1729
38,73,18.2208671582886,80.0,328,298,4.8283137373023015,3.9318256327243257,1813
39,64,17.4928556845359,77.0,264,247,4.653960350157523,4.04305126783455,1572
40,57,15.716233645501712,67.0,216,215,4.51085950651685,3.871201010907891,1383
41,64,18.0,62.0,295,267,4.574710978503383,3.9318256327243257,1633
42,67,17.406895185529212,80.0,352,237,4.477336814478207,3.8918202981106265,1658
43,62,17.26267650163207,72.0,297,227,4.8283137373023015,3.7376696182833684,1567
44,69,19.6468827043885,57.0,326,354,5.19295685089021,4.07753744390572,1915
45,58,15.748015748023622,76.0,230,230,4.553876891600541,3.8501476017100584,1436
46,78,19.949937343260004,80.0,358,332,4.990432586778736,4.110873864173311,2022
47,62,16.73320053068151,81.0,276,225,4.700480365792417,3.970291913552122,1560
48,72,18.439088914585774,70.0,332,319,4.61512051684126,3.8918202981106265,1782
49,73,19.519221295943137,77.0,295,300,4.983606621708336,4.1588830833596715,1870
50,59,15.968719422671311,69.0,273,256,4.634728988229636,3.871201010907891,1491
51,64,17.46424919657298,68.0,264,276,5.062595033026967,3.828641396489095,1654
52,60,16.76305461424021,70.0,246,234,4.804021044733257,3.7612001156935624,1515
53,63,17.663521732655695,77.0,260,242,5.003946305945459,3.9889840465642745,1639
54,60,17.233687939614086,69.0,211,228,4.68213122712422,3.9318256327243257,1470
55,70,18.734993995195193,81.0,291,279,4.48863636973214,3.828641396489095,1729
56,75,19.157244060668017,85.0,336,291,4.624972813284271,4.07753744390572,1846
57,55,16.06237840420901,75.0,215,213,4.727387818712341,4.0943445622221,1428
58,66,17.69180601295413,74.0,302,289,4.882801922586371,4.02535169073515,1725
59,73,18.547236990991408,84.0,287,272,4.795790545596741,3.9512437185814275,1788
60,65,17.349351572897472,80.0,270,234,4.442651256490317,3.6375861597263857,1542
61,59,16.46207763315433,61.0,232,278,4.9344739331306915,4.07753744390572,1510
62,57,15.905973720586866,78.0,225,214,4.812184355372417,3.9512437185814275,1437
63,71,18.411952639521967,74.0,279,245,4.406719247264253,4.007333185232471,1649
64,64,16.186414056238647,70.0,306,248,4.6913478822291435,3.8066624897703196,1536
65,73,19.390719429665317,63.0,323,332,4.9344739331306915,4.110873864173311,1906
66,68,18.0,79.0,261,260,4.859812404361672,4.02535169073515,1674
67,57,15.620499351813308,68.0,293,196,4.394449154672439,4.02535169073515,1407
68,56,16.0312195418814,71.0,257,206,4.68213122712422,3.7612001156935624,1414
69,74,18.411952639521967,88.0,294,290,4.454347296253507,4.060443010546419,1760
70,57,16.0,70.0,226,235,4.804021044733257,3.828641396489095,1432
71,67,17.349351572897472,80.0,310,272,4.812184355372417,3.871201010907891,1708
72,67,18.110770276274835,80.0,334,273,5.10594547390058,3.9889840465642745,1801
73,61,17.46424919657298,71.0,282,259,4.770684624465665,3.912023005428146,1604
74,67,18.681541692269406,89.0,261,267,4.997212273764115,4.060443010546419,1738
75,52,16.09347693943108,53.0,236,206,4.852030263919617,3.9512437185814275,1391
76,65,16.792855623746664,71.0,240,265,4.543294782270004,3.6109179126442243,1524
77,77,19.72308292331602,91.0,310,318,4.574710978503383,4.0943445622221,1923
78,62,17.52141546793523,59.0,247,241,4.844187086458591,3.912023005428146,1551
79,69,18.439088914585774,70.0,289,272,4.330733340286331,3.871201010907891,1665
80,64,16.186414056238647,74.0,324,227,3.970291913552122,3.8066624897703196,1531
81,76,19.131126469708992,85.0,330,315,5.170483995038151,3.9318256327243257,1923
