,bov,attacking,skill,agility,power,mentality,defending,goalkeeping,total_stats
0,59,215,291,62.0,247,234,108,57,1480
1,67,309,299,54.0,344,311,126,52,1725
2,50,201,216,49.0,232,214,112,64,1310
3,65,248,266,82.0,301,221,128,52,1545
4,82,356,365,78.0,362,318,146,58,2014
5,59,234,259,64.0,295,219,94,44,1434
6,66,274,312,75.0,299,268,79,52,1642
7,56,218,244,68.0,244,218,101,53,1404
8,76,336,347,79.0,319,310,92,64,1842
9,59,229,266,71.0,223,209,96,47,1403
10,63,248,292,90.0,221,230,106,52,1503
11,81,354,427,75.0,319,330,110,50,1964
12,71,338,323,68.0,346,313,137,62,1881
13,67,277,347,63.0,307,275,78,50,1675
14,62,259,304,64.0,275,247,107,62,1553
15,61,260,312,55.0,269,231,119,54,1542
16,64,271,316,72.0,257,255,113,51,1600
17,75,306,367,72.0,381,286,99,46,1833
18,54,214,244,61.0,257,219,120,49,1398
19,76,335,376,80.0,264,317,152,50,1847
20,69,269,320,83.0,283,247,91,47,1596
21,60,268,289,81.0,271,279,139,58,1677
22,66,296,291,65.0,287,254,126,53,1631
23,63,286,296,58.0,277,274,149,41,1628
24,68,297,338,94.0,324,282,94,65,1801
25,68,267,337,86.0,222,232,72,43,1545
26,69,297,344,81.0,326,294,160,53,1833
27,60,240,292,74.0,250,226,94,55,1489
28,59,236,266,67.0,247,262,157,47,1536
29,64,279,291,68.0,307,264,140,68,1676
30,68,285,345,88.0,300,302,165,58,1858
31,63,254,268,70.0,249,222,86,42,1448
32,59,255,256,67.0,264,215,123,40,1471
33,68,297,336,75.0,302,275,122,51,1757
34,63,283,290,74.0,281,247,84,53,1562
35,66,279,316,47.0,271,250,147,57,1623
36,68,280,314,66.0,294,304,103,43,1684
37,68,299,319,72.0,314,284,112,46,1729
38,73,319,332,80.0,328,298,125,51,1813
39,64,258,306,77.0,264,247,105,57,1572
40,57,242,247,67.0,216,215,91,48,1383
41,64,278,324,62.0,295,267,97,51,1633
42,67,259,303,80.0,352,237,88,49,1658
43,62,256,298,72.0,297,227,125,42,1567
44,69,352,386,57.0,326,354,180,59,1915
45,58,215,248,76.0,230,230,95,47,1436
46,78,336,398,80.0,358,332,147,61,2022
47,62,249,280,81.0,276,225,110,53,1560
48,72,322,340,70.0,332,319,101,49,1782
49,73,339,381,77.0,295,300,146,64,1870
50,59,232,255,69.0,273,256,103,48,1491
51,64,281,305,68.0,264,276,158,46,1654
52,60,247,281,70.0,246,234,122,43,1515
53,63,279,312,77.0,260,242,149,54,1639
54,60,248,297,69.0,211,228,108,51,1470
55,70,292,351,81.0,291,279,89,46,1729
56,75,309,367,85.0,336,291,102,59,1846
57,55,235,258,75.0,215,213,113,60,1428
58,66,282,313,74.0,302,289,132,56,1725
59,73,308,344,84.0,287,272,121,52,1788
60,65,251,301,80.0,270,234,85,38,1542
61,59,250,271,61.0,232,278,139,59,1510
62,57,240,253,78.0,225,214,123,52,1437
63,71,280,339,74.0,279,245,82,55,1649
64,64,231,262,70.0,306,248,109,45,1536
65,73,353,376,63.0,323,332,139,61,1906
66,68,285,324,79.0,261,260,129,56,1674
67,57,226,244,68.0,293,196,81,56,1407
68,56,216,257,71.0,257,206,108,43,1414
69,74,293,339,88.0,294,290,86,58,1760
70,57,225,256,70.0,226,235,122,46,1432
71,67,280,301,80.0,310,272,123,48,1708
72,67,294,328,80.0,334,273,165,54,1801
73,61,265,305,71.0,282,259,118,50,1604
74,67,282,349,89.0,261,267,148,58,1738
75,52,233,259,53.0,236,206,128,52,1391
76,65,261,282,71.0,240,265,94,37,1524
77,77,350,389,91.0,310,318,97,60,1923
78,62,268,307,59.0,247,241,127,50,1551
79,69,306,340,70.0,289,272,76,48,1665
80,64,271,262,74.0,324,227,53,45,1531
81,76,286,366,85.0,330,315,176,51,1923
82,62,251,262,74.0,236,225,100,58,1488
83,57,239,251,70.0,243,236,112,31,1448
84,53,216,241,78.0,196,204,93,50,1319
85,77,355,383,70.0,369,328,173,54,2010
86,58,256,285,73.0,263,241,141,51,1572
87,66,250,296,84.0,300,235,99,43,1568
88,60,260,286,72.0,251,222,122,43,1519
89,64,253,281,65.0,267,230,90,54,1517
90,68,249,296,76.0,311,242,71,54,1579
91,61,255,296,72.0,262,249,105,43,1530
92,58,228,248,77.0,252,199,73,57,1404
93,67,296,315,84.0,255,245,98,50,1639
94,70,293,348,71.0,317,296,157,42,1803
95,59,259,276,60.0,266,253,126,45,1526
96,65,311,345,67.0,243,325,129,62,1703
97,72,328,362,68.0,296,319,98,50,1772
98,76,321,385,87.0,309,283,102,58,1855
99,59,232,268,67.0,271,260,128,51,1530
100,63,262,273,67.0,240,245,129,51,1523
101,73,298,346,70.0,339,285,127,38,1780
102,63,252,313,70.0,301,251,127,59,1615
103,60,261,295,57.0,250,242,121,48,1517
104,56,220,248,62.0,233,217,130,48,1419
105,64,275,324,77.0,310,273,161,54,1754
106,65,275,307,78.0,300,249,105,52,1646
107,54,215,237,66.0,244,227,117,51,1404
108,64,260,302,68.0,284,246,124,60,1606
109,55,235,277,64.0,212,215,90,53,1382
110,59,264,296,58.0,236,228,128,52,1486
111,56,223,266,87.0,213,210,103,46,1434
112,64,255,298,78.0,228,235,102,36,1495
113,66,274,303,72.0,324,282,99,59,1686
114,57,220,266,63.0,284,211,103,41,1431
115,72,321,342,83.0,343,313,116,62,1873
116,58,270,263,70.0,281,238,130,42,1524
117,62,261,305,58.0,247,236,152,32,1569
118,71,310,344,78.0,333,313,123,56,1840
119,66,246,262,86.0,278,234,49,58,1522
120,75,318,372,87.0,308,305,122,49,1863
121,74,334,356,77.0,354,340,195,49,1985
122,66,315,330,67.0,346,288,120,64,1783
123,73,307,364,79.0,288,286,137,54,1804
124,78,316,367,81.0,350,310,131,55,1909
125,63,256,291,87.0,246,229,95,56,1544
126,78,326,386,82.0,296,335,168,36,1929
127,60,239,281,79.0,242,230,127,47,1514
128,66,282,302,59.0,311,283,121,51,1653
129,68,313,323,70.0,294,282,96,63,1726
130,67,258,317,82.0,236,243,90,53,1582
131,70,330,341,61.0,369,348,143,54,1900
132,63,314,329,72.0,275,242,158,50,1696
133,73,301,357,83.0,303,272,131,56,1796
134,65,282,355,77.0,281,264,89,55,1684
135,62,245,277,53.0,272,238,129,46,1515
136,61,266,289,69.0,283,276,125,51,1608
137,65,270,299,74.0,273,252,106,46,1594
138,61,240,275,82.0,236,227,104,45,1495
139,77,337,368,84.0,341,315,138,53,1926
140,59,248,265,68.0,242,230,119,57,1486
141,62,227,288,70.0,239,216,90,48,1421
142,80,355,377,85.0,368,354,130,57,2050
143,76,355,390,79.0,336,333,120,40,1960
144,68,266,294,72.0,288,240,132,42,1619
145,57,264,290,44.0,212,238,148,61,1503
146,72,305,355,66.0,348,320,119,55,1838
147,67,282,327,82.0,251,266,132,56,1681
148,63,261,274,69.0,286,233,128,61,1558
149,65,292,308,73.0,308,297,178,50,1773
150,56,214,237,63.0,273,246,121,43,1457
151,59,240,272,62.0,281,262,137,44,1551
152,67,302,332,72.0,291,300,122,44,1722
153,61,267,309,59.0,272,236,118,51,1573
154,69,279,310,90.0,350,301,140,62,1842
155,73,352,361,75.0,352,295,110,55,1902
156,63,244,283,79.0,279,223,131,53,1574
157,65,269,320,75.0,274,228,83,65,1565
158,58,243,251,74.0,261,221,97,47,1473
159,59,230,282,78.0,257,262,140,45,1556
160,61,261,303,55.0,246,241,135,46,1510
161,66,266,306,75.0,318,244,115,60,1650
162,65,294,299,76.0,355,299,140,54,1798
163,62,247,281,86.0,242,263,138,40,1566
164,61,247,260,65.0,284,239,96,46,1512
165,54,225,245,49.0,243,213,131,46,1404
166,72,346,364,82.0,348,319,112,45,1917
167,71,309,342,79.0,312,271,131,59,1791
168,74,302,378,92.0,294,267,84,69,1817
169,67,286,328,66.0,298,254,133,52,1667
170,61,244,281,70.0,259,214,103,54,1503
171,61,247,288,67.0,270,223,107,61,1514
172,55,218,237,53.0,276,222,114,39,1398
173,77,356,396,77.0,324,327,114,51,1915
174,61,266,307,77.0,252,224,124,56,1557
175,61,270,309,45.0,264,238,152,51,1554
176,64,273,286,73.0,329,277,137,55,1694
177,66,263,308,77.0,323,309,139,55,1771
178,78,346,366,87.0,352,298,124,56,1941
179,59,248,266,60.0,274,270,153,49,1573
180,61,252,284,75.0,236,217,87,40,1446
181,66,293,325,74.0,303,299,148,48,1759
182,72,310,353,84.0,305,282,88,54,1774
183,73,334,314,69.0,350,292,162,35,1827
184,53,224,236,51.0,254,202,114,56,1363
185,56,213,266,57.0,222,207,99,58,1386
186,75,381,328,65.0,384,381,185,48,2041
187,67,292,335,62.0,318,313,149,54,1779
188,74,317,353,77.0,330,296,94,50,1818
189,53,215,249,65.0,235,237,102,52,1398
190,63,256,305,74.0,266,242,113,48,1579
191,60,227,273,65.0,309,273,117,55,1576
192,72,352,359,70.0,294,288,106,51,1806
193,64,294,313,76.0,331,296,128,53,1750
194,61,270,294,74.0,243,250,149,38,1585
195,61,257,287,76.0,267,233,130,48,1576
196,70,329,348,70.0,292,340,98,57,1780
197,63,239,272,74.0,246,261,128,55,1566
198,72,309,365,72.0,296,250,128,61,1773
199,58,211,262,81.0,240,237,119,67,1497
200,65,292,321,70.0,331,294,157,41,1762
201,61,242,273,76.0,228,216,93,57,1452
202,72,322,342,75.0,286,301,79,57,1754
203,66,298,320,84.0,319,292,159,53,1815
204,64,317,318,66.0,303,300,148,43,1715
205,71,309,346,72.0,282,255,115,56,1709
206,63,267,279,56.0,293,256,150,56,1588
207,81,363,401,90.0,359,364,181,64,2133
208,64,254,314,78.0,265,235,92,45,1559
209,56,233,268,47.0,234,221,136,53,1416
210,80,353,407,89.0,311,327,103,59,1947
211,60,210,250,73.0,300,235,101,35,1455
212,67,311,328,68.0,340,302,99,61,1789
213,72,334,355,61.0,369,342,185,44,1948
214,60,247,250,63.0,304,230,81,43,1476
215,61,262,300,65.0,264,242,114,65,1570
216,52,208,223,64.0,243,201,103,58,1341
217,68,272,329,74.0,285,258,198,48,1741
218,64,264,293,70.0,264,279,176,50,1672
219,65,270,308,75.0,307,262,102,49,1632
220,79,362,407,67.0,321,339,193,34,1965
221,75,317,354,84.0,346,335,158,58,1959
222,76,325,365,68.0,331,360,201,64,1970
223,62,263,265,58.0,283,273,171,61,1599
224,54,228,251,55.0,240,249,131,44,1425
225,73,334,375,76.0,354,315,156,46,1950
226,75,354,376,73.0,363,349,215,58,2059
227,57,226,256,61.0,267,213,124,46,1445
228,73,326,323,57.0,381,335,201,55,1951
229,66,285,319,74.0,316,262,106,51,1678
230,64,275,311,74.0,282,284,150,60,1697
231,63,237,282,83.0,253,230,102,52,1502
232,68,320,329,63.0,342,265,71,44,1693
233,76,346,375,79.0,345,307,84,54,1894
234,61,266,296,68.0,244,238,100,58,1523
235,78,365,389,68.0,319,332,76,19,1832
236,72,317,362,90.0,318,278,73,50,1803
237,62,270,259,74.0,295,232,91,56,1541
238,66,294,317,67.0,283,289,137,48,1693
239,77,344,386,86.0,332,304,69,59,1906
240,77,344,386,88.0,343,304,66,59,1911
241,60,240,231,68.0,282,214,47,44,1388
242,72,330,348,72.0,316,291,74,51,1759
243,58,232,280,52.0,242,219,101,51,1439
244,64,291,287,55.0,267,241,140,48,1576
245,80,336,424,93.0,308,332,80,21,1925
246,65,283,303,62.0,305,278,144,50,1668
247,67,297,348,72.0,300,300,103,59,1762
248,64,267,321,77.0,252,202,40,59,1490
249,85,389,422,83.0,373,360,132,61,2147
250,60,267,302,64.0,292,217,85,44,1507
251,60,292,301,68.0,319,240,64,52,1584
252,62,175,279,90.0,223,215,91,53,1428
253,58,222,259,78.0,285,207,109,43,1458
254,68,292,304,72.0,294,276,60,59,1636
255,67,272,289,81.0,294,265,115,59,1679
256,76,355,365,72.0,351,353,195,46,2025
257,67,296,325,74.0,321,267,126,49,1732
258,72,365,341,60.0,379,338,165,61,1945
259,75,359,384,71.0,383,322,144,53,2003
260,72,353,312,68.0,326,320,183,54,1877
261,70,277,317,92.0,310,269,105,58,1726
262,64,285,292,51.0,326,246,93,53,1584
263,70,330,361,68.0,284,279,81,23,1686
264,61,239,278,92.0,261,210,118,46,1548
265,71,292,335,94.0,345,251,117,49,1810
266,66,280,274,81.0,287,224,84,50,1572
267,65,319,379,68.0,281,284,112,42,1674
268,78,315,382,90.0,352,301,105,55,1939
269,86,359,411,93.0,345,337,114,46,2065
270,76,364,356,74.0,373,318,109,48,1932
271,67,273,317,77.0,311,250,82,60,1655
272,73,350,368,69.0,345,299,93,59,1832
273,62,258,291,82.0,232,244,98,55,1529
274,76,366,372,67.0,365,316,95,46,1891
275,69,319,359,75.0,342,257,62,60,1745
276,71,280,326,71.0,309,260,80,41,1656
